"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CD40",-1.07751873355128,5.90411290663158,-4.13199715176217,0.000112217159936373,0.000442993395769764,0.771568520958928
"CD163",-1.20165467780769,6.66666264138597,-4.12716140662537,0.000114071323008731,0.00044796759139887,0.755997733172195
"LILRB1",-0.951647394538462,4.55514938501754,-4.07877456981564,0.000134330546342951,0.000524793947889042,0.60075438133121
"ADA",-0.749963046205128,5.34102489822807,-4.06917689645145,0.000138742723492206,0.000539237183057335,0.570083277350045
"LILRB3",-0.945327492482906,4.04581331889474,-4.05659898886704,0.000144737129595956,0.000559650234437696,0.529949969853885
"FYN",-0.798576170042736,7.29915275905263,-4.05017899764534,0.000147892346938216,0.000568932804037829,0.509492278666425
"LILRA5",-0.935577794641025,3.72940622994737,-4.04215446118865,0.000151929534222371,0.000581496795957704,0.483947430760168
"Clec10a (CD301)",-1.10695757494444,4.20274912735088,-4.03763029911961,0.000154252309030565,0.000586647316808688,0.469558154252523
"IL16",-1.11207635468803,6.43790591566667,-4.03651276647455,0.000154831321014495,0.000586647316808688,0.466005208301984
"BATF",-1.13922529968376,5.49046305266667,-4.02102400028555,0.000163075352784458,0.000614794079997408,0.416819850126862
"ISG20",-1.10560787325641,6.85870599852632,-4.00970438442636,0.000169366301753952,0.00063533428618149,0.380942195578474
"CD22",-1.37798020892735,4.48406596361403,-3.97584981773738,0.000189608131746772,0.000707745204638942,0.273987055345337
"BIRC5",-1.0947710669188,7.59636082294737,-3.94737013267755,0.000208422665156631,0.00077159345826758,0.184419639740854
"IL21",-1.09535158276068,2.81102864738597,-3.94688238505623,0.000208760033801839,0.00077159345826758,0.182888961003659
"KLRC1",-1.01797026064103,4.17975508347369,-3.88796334700307,0.000253618250880613,0.000932820298360889,-0.00119553542573669
"CCL3",-0.900894500397436,6.06676721277193,-3.88638218481993,0.000254941370154475,0.000933134917944049,-0.00611310609696325
"OAS3",-1.17663694604274,7.08787045624562,-3.88202492215559,0.000258621946571786,0.000942033563841192,-0.0196584714032415
"REL",-0.567881086794872,6.47738737861404,-3.84534106322279,0.000291698989471658,0.00105740883683476,-0.13333716595162
"TNFRSF8",-0.984478799551282,3.93281870575439,-3.8385310671171,0.000298270756644309,0.00107605813641057,-0.154369245388229
"CCL3L1",-0.964383052752136,5.36266658398246,-3.82964988203181,0.000307054981940143,0.00110247360182318,-0.181764265568964
"IL18",-0.942225812260683,5.19703711685965,-3.8105263016631,0.000326820074911908,0.00116787837196009,-0.24062285140906
"TLR6",-0.962349397495727,5.03180024798246,-3.80629856661231,0.000331351449901096,0.00117848581710107,-0.253610870571825
"CD28",-0.97145931709829,3.35753247036842,-3.78218572634743,0.000358370012479575,0.00126859619441127,-0.327519997997123
"ICAM2",-0.857541694307693,5.19790790533333,-3.76269410865893,0.000381741103561335,0.00134204470868506,-0.387054377675552
"NCR1",-0.963549693606838,3.7803083174386,-3.76154037566335,0.000383169278731892,0.00134204470868506,-0.390572370994995
"CLEC4C",-1.10412528333761,2.72344847384211,-3.76050248130382,0.000384458431135242,0.00134204470868506,-0.393736579157596
"POU2AF1",-1.28923753502564,3.42470165505263,-3.75036664767121,0.000397268254913644,0.00138036988112851,-0.424609226830674
"APOE",-0.92877281842735,10.4443791183684,-3.72715340961919,0.000428162738090134,0.00148089313999982,-0.495120169367406
"MX1",-1.4377676990812,9.51845643805263,-3.70727055892499,0.000456440313850051,0.00157148856914584,-0.555298741387681
"TRAF3",-0.570162301850427,6.51782806357895,-3.68216289460055,0.000494705622569767,0.00169549108826184,-0.631003603362645
"CXCL3",-1.1139218445812,3.80720163466667,-3.67837224545547,0.000500742625412813,0.00170684160847837,-0.642405163874868
"CXCL1",-1.41851695686325,5.47072885308772,-3.6772490680712,0.000502544876766842,0.00170684160847837,-0.645782052551004
"BTK",-0.764945070594017,4.37070329829825,-3.6457631290559,0.000555663658672647,0.00187879102528778,-0.740181154178109
"CCL20",-1.23715035941026,4.43811155187719,-3.63169720421646,0.00058108830738395,0.00195598474896205,-0.782186428308529
"BLK",-1.01623405068376,3.07726854012281,-3.62990874593917,0.000584399439431889,0.00195838745480731,-0.78751992693877
"LY86",-0.784851696448718,4.09254374347368,-3.62013229417446,0.000602819909671903,0.00201117792872839,-0.816645435488861
"FCGR2A",-0.896124371846154,7.08901296977193,-3.60307185209362,0.000636298186495516,0.00211351908642123,-0.867350770099621
"IFIH1",-1.06145196597009,6.30688103935087,-3.59842447261151,0.000645720621890002,0.0021354094250222,-0.881136645335858
"CCR4",-0.873415589752136,3.27849984391228,-3.58034799451627,0.000683650019839455,0.00225096993431855,-0.934649459104008
"TNFSF8",-0.771957369705128,3.72199479005263,-3.57260628183325,0.000700535161276103,0.00229653700696601,-0.957514544807155
"TNFRSF13C",-0.987978340508547,4.63626724040351,-3.55173396854959,0.000748059941889552,0.00244171946400313,-1.01900108885279
"TGFB2",1.08822858311966,5.09284303261404,3.53709154070124,0.000783214138729758,0.00254544595087171,-1.06199564495736
"CCR1",-0.877144265094017,3.94050927305263,-3.51662435961517,0.000834994339776946,0.00270208468751853,-1.12189907344797
"IL3RA",-0.645664791431624,3.77762680849123,-3.51524600031655,0.000838595970598868,0.00270214257192968,-1.12592508272538
"TLR1",-0.761961765735043,6.34287919121053,-3.5049320326479,0.000866018624926747,0.00277862997104156,-1.15601797244728
"MYD88",-0.55737175007265,7.57593370952632,-3.48881757780381,0.000910575504482104,0.00290921156940469,-1.20291837034462
"CSF1R",-0.750274136564103,4.51284742619298,-3.47722660619297,0.000943961819915141,0.00300315279416041,-1.23656516041647
"LY96",-0.67733890152564,5.32228382180702,-3.4700867509586,0.000965102145628299,0.00305493094673421,-1.25725416797298
"CCRL2",-0.750116731777778,4.30036874407018,-3.46900627981247,0.000968340180728748,0.00305493094673421,-1.26038257128412
"TNFRSF13B",-1.18757355452137,3.09670712833333,-3.45820155522428,0.00100129258772496,0.00314572754643593,-1.29163106889393
"ADORA2A",-0.794365499982906,5.02690289638597,-3.44384066225867,0.00104673969043201,0.00327486193604038,-1.33306399795828
"CLEC6A",-0.901846435692307,3.16548804475439,-3.43812433204938,0.00106536846335644,0.00331937116268906,-1.34952430858719
"IFNAR2",-0.651359102594017,7.99351342968421,-3.42765692388609,0.00110029780601408,0.00341409278080088,-1.37961806644667
"ISG15",-1.22807295623504,8.04712733335088,-3.40987283622192,0.00116214314056611,0.00359121281961822,-1.43060613798856
