"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PDCD1",-1.52725171195727,3.33993900554386,-5.23257456436895,2.20368004944711e-06,1.39628130864128e-05,4.53924549822392
"INPP5D",-1.1810345546453,5.51742360284211,-5.21606342821826,2.34332038025437e-06,1.47238630559316e-05,4.47996029172354
"LILRB2",-1.22081512267521,4.81018392550877,-5.20446010525489,2.44662472155935e-06,1.52459094219483e-05,4.43833843829674
"XCL2",-1.30323351802991,3.1241074055614,-5.17694002497641,2.70987922365551e-06,1.67479420871824e-05,4.33975982527302
"IL1B",-1.19622822821795,4.63933876412281,-5.1491363739688,3.00408502109199e-06,1.84152854138485e-05,4.24036464002544
"SIGLEC1",-1.3949659397094,6.43351861624562,-5.14387036770816,3.06324193729448e-06,1.86264872638713e-05,4.22156202298131
"FCGR3A",-1.55912988652564,7.01775868942105,-5.13775534194281,3.1333740264832e-06,1.87784245865966e-05,4.19973711105507
"LAMP3",-1.8732864129188,5.02783247057895,-5.13735336282507,3.13803912189811e-06,1.87784245865966e-05,4.19830276876113
"FUT7",-1.1448954853547,3.567305719,-5.12547467655321,3.27901814847078e-06,1.94675565665115e-05,4.15593658917787
"IL18RAP",-1.3148274295641,3.24086774292982,-5.11978131868224,3.34877630561399e-06,1.97263854252574e-05,4.13564414586136
"MICB",-1.20933855376068,5.64695280514035,-5.05947619839469,4.18324913089776e-06,2.44509290286582e-05,3.92124052925966
"CD7",-1.22897651763675,4.36574857468421,-5.03422410434227,4.59049751564836e-06,2.66248855907605e-05,3.83175829819521
"TNFRSF4",-1.04117563276068,4.70534891145614,-5.03007142887452,4.66109509658774e-06,2.67827524813405e-05,3.81706011329566
"CD244",-1.20474511111539,2.9206326557193,-5.02846107215602,4.68875772882883e-06,2.67827524813405e-05,3.81136164076997
"IFI27",-1.72655283655983,10.0440489577368,-4.97036404240288,5.80200007761178e-06,3.27350732836466e-05,3.60627011627627
